1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	
0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	1.0	5.0	1.0	11.0	23.0	11.0	27.0	25.0	36.0	45.0	67.0	49.0	88.0	65.0	83.0	89.0	148.0	118.0	96.0	146.0	213.0	206.0	210.0	230.0	292.0	403.0	496.0	436.0	501.0	612.0	684.0	753.0	770.0	953.0	1088.0	1056.0	1623.0	1763.0	2364.0	2579.0	3020.0	3129.0	4312.0	5667.0	5493.0	6402.0	7032.0	8210.0	8995.0	9405.0	9113.0	9873.0	10154.0	6719.0	
0.0	2.0	0.0	0.0	0.0	0.0	8.0	13.0	14.0	15.0	13.0	25.0	17.0	39.0	56.0	80.0	133.0	86.0	121.0	110.0	141.0	136.0	157.0	175.0	144.0	198.0	220.0	277.0	212.0	411.0	353.0	462.0	375.0	408.0	336.0	348.0	240.0	227.0	167.0	200.0	229.0	186.0	190.0	235.0	195.0	224.0	267.0	287.0	238.0	322.0	272.0	417.0	344.0	309.0	423.0	599.0	774.0	1258.0	1921.0	1817.0	2079.0	3307.0	3879.0	4901.0	5729.0	6164.0	7898.0	9645.0	10615.0	6597.0	
2.0	5.0	4.0	7.0	12.0	7.0	19.0	19.0	18.0	16.0	17.0	23.0	32.0	98.0	157.0	149.0	227.0	276.0	318.0	414.0	367.0	465.0	722.0	651.0	715.0	828.0	875.0	1108.0	1001.0	1454.0	1459.0	1710.0	1661.0	1805.0	2261.0	2016.0	2529.0	2835.0	2667.0	2863.0	3115.0	3419.0	3582.0	3908.0	4255.0	4882.0	5404.0	5339.0	6347.0	6743.0	8535.0	9558.0	11307.0	14243.0	18564.0	21827.0	29785.0	34350.0	39639.0	45012.0	51821.0	59533.0	64829.0	72129.0	77894.0	80997.0	86156.0	95459.0	89868.0	54934.0	
5.0	4.0	12.0	13.0	14.0	21.0	22.0	27.0	34.0	38.0	87.0	189.0	230.0	341.0	386.0	535.0	600.0	781.0	797.0	863.0	1223.0	807.0	1111.0	1546.0	1792.0	1911.0	1620.0	2223.0	2229.0	2373.0	2460.0	2905.0	3085.0	3483.0	3659.0	4181.0	4492.0	4572.0	4591.0	5094.0	5732.0	6167.0	6181.0	6750.0	7575.0	8482.0	8942.0	10196.0	10953.0	11467.0	13033.0	14443.0	17297.0	18013.0	21201.0	24469.0	29663.0	35733.0	40610.0	48916.0	54620.0	62490.0	66563.0	74103.0	82530.0	92305.0	103530.0	117044.0	127321.0	83025.0	
239.0	290.0	277.0	363.0	494.0	483.0	445.0	550.0	717.0	858.0	910.0	1178.0	1191.0	1391.0	1385.0	1676.0	1380.0	1905.0	1855.0	2277.0	2350.0	3148.0	3822.0	4654.0	5617.0	5925.0	7125.0	7906.0	9528.0	10629.0	12426.0	13881.0	16020.0	15904.0	17613.0	19133.0	21079.0	22294.0	24565.0	27161.0	28783.0	30874.0	35932.0	33294.0	35662.0	45192.0	48583.0	57235.0	78688.0	93138.0	102798.0	111362.0	124547.0	136918.0	150939.0	169425.0	190683.0	200802.0	222213.0	230417.0	252406.0	272290.0	290690.0	306726.0	333368.0	331685.0	314148.0	330484.0	288110.0	147904.0	
18.0	22.0	23.0	35.0	33.0	39.0	49.0	40.0	62.0	58.0	72.0	70.0	114.0	87.0	73.0	79.0	268.0	368.0	339.0	329.0	358.0	425.0	385.0	447.0	457.0	465.0	457.0	536.0	612.0	693.0	769.0	944.0	893.0	880.0	942.0	843.0	1033.0	1077.0	1028.0	1106.0	1327.0	1301.0	1488.0	1603.0	1676.0	1813.0	2074.0	1945.0	2260.0	2564.0	3304.0	3629.0	4375.0	6287.0	7884.0	10169.0	12209.0	14863.0	17780.0	22606.0	24664.0	31826.0	36474.0	41246.0	48847.0	52807.0	57145.0	63364.0	57792.0	33757.0	
13.0	11.0	18.0	27.0	27.0	24.0	17.0	16.0	22.0	25.0	79.0	43.0	64.0	81.0	103.0	133.0	118.0	105.0	188.0	175.0	157.0	216.0	185.0	217.0	207.0	321.0	250.0	366.0	319.0	327.0	384.0	410.0	527.0	566.0	446.0	630.0	740.0	658.0	751.0	675.0	794.0	1239.0	923.0	923.0	1123.0	1368.0	1090.0	1099.0	1380.0	1852.0	2777.0	2629.0	3083.0	3445.0	4151.0	5799.0	6485.0	8966.0	9540.0	11777.0	11298.0	12492.0	14757.0	16134.0	16712.0	17368.0	18456.0	19550.0	19604.0	12011.0	
25238.0	27433.0	29045.0	30929.0	32776.0	36208.0	36891.0	40004.0	43737.0	47961.0	54010.0	55246.0	60864.0	62360.0	68651.0	75177.0	83644.0	90950.0	94255.0	99280.0	108253.0	117853.0	131560.0	145168.0	156089.0	163907.0	185584.0	197835.0	216412.0	235883.0	258135.0	275236.0	301283.0	337530.0	362040.0	388199.0	416219.0	464658.0	497809.0	540728.0	578419.0	629222.0	678416.0	699946.0	755859.0	891042.0	1010355.0	1137518.0	1341389.0	1542354.0	1780309.0	2040075.0	2266125.0	2588650.0	2903445.0	3334728.0	3697106.0	4068281.0	4370685.0	4799190.0	4951359.0	5295308.0	5670574.0	5985507.0	6273552.0	6417107.0	6405992.0	6694551.0	5489787.0	3235917.0	
430.0	507.0	663.0	571.0	671.0	975.0	837.0	933.0	1043.0	1125.0	939.0	1401.0	1530.0	1893.0	2394.0	3047.0	3011.0	3940.0	4817.0	4431.0	4748.0	5591.0	6247.0	6940.0	7838.0	8751.0	10331.0	12213.0	12347.0	17895.0	17648.0	19243.0	23875.0	23933.0	25488.0	28498.0	31080.0	33360.0	36931.0	37381.0	41921.0	46618.0	48832.0	49900.0	51612.0	58849.0	60565.0	68312.0	75747.0	86871.0	95176.0	106165.0	122821.0	134118.0	150082.0	167282.0	207291.0	208152.0	235099.0	253671.0	267260.0	290904.0	299032.0	323409.0	346624.0	356555.0	362871.0	405771.0	360668.0	217546.0	
55.0	84.0	76.0	71.0	102.0	95.0	71.0	118.0	111.0	161.0	173.0	195.0	222.0	241.0	247.0	332.0	386.0	439.0	410.0	541.0	616.0	627.0	822.0	825.0	933.0	893.0	948.0	1143.0	1553.0	1835.0	2019.0	2539.0	3087.0	3260.0	3324.0	4980.0	5406.0	5331.0	6328.0	8294.0	8818.0	9602.0	10989.0	10866.0	12855.0	15643.0	18538.0	23336.0	28687.0	33034.0	42879.0	49979.0	59683.0	69053.0	79501.0	88813.0	97611.0	114978.0	128650.0	143546.0	152390.0	163229.0	171892.0	183778.0	186485.0	204256.0	204395.0	230517.0	194656.0	116699.0	
331.0	442.0	473.0	376.0	454.0	355.0	586.0	546.0	687.0	928.0	852.0	1072.0	1329.0	1397.0	1770.0	1621.0	2094.0	2287.0	3111.0	4008.0	4160.0	5226.0	4908.0	5722.0	6101.0	7953.0	8990.0	10334.0	11424.0	13874.0	15119.0	16193.0	17726.0	18929.0	19830.0	21363.0	21406.0	22755.0	25839.0	29525.0	32108.0	34001.0	36850.0	37632.0	40783.0	45569.0	49412.0	55705.0	60686.0	69494.0	78009.0	87625.0	98661.0	110629.0	127028.0	146353.0	170868.0	177201.0	204200.0	225582.0	232885.0	262577.0	288136.0	301916.0	322204.0	335821.0	330893.0	343280.0	322560.0	195277.0	
44.0	62.0	41.0	70.0	80.0	78.0	99.0	100.0	101.0	133.0	195.0	180.0	311.0	421.0	435.0	533.0	594.0	790.0	864.0	887.0	1025.0	1068.0	1173.0	1106.0	1226.0	1307.0	1754.0	1915.0	1853.0	2352.0	2298.0	4126.0	5327.0	5105.0	5065.0	3158.0	3241.0	3494.0	3347.0	3738.0	4325.0	4071.0	4877.0	4800.0	5092.0	5585.0	5426.0	6086.0	6716.0	7186.0	7684.0	8406.0	9654.0	9721.0	10958.0	13527.0	16597.0	18338.0	21715.0	23864.0	27471.0	31005.0	34249.0	36487.0	42418.0	45144.0	48620.0	53503.0	51046.0	28447.0	
196.0	214.0	259.0	350.0	419.0	534.0	632.0	619.0	810.0	859.0	1081.0	1239.0	1541.0	1830.0	2619.0	3002.0	3138.0	3202.0	4084.0	3888.0	4731.0	5434.0	5583.0	5812.0	6301.0	6513.0	7498.0	7909.0	9033.0	13160.0	11571.0	12556.0	14694.0	13615.0	15907.0	16304.0	17388.0	19054.0	19184.0	20570.0	23200.0	25449.0	27092.0	26882.0	28930.0	33828.0	36810.0	35722.0	39040.0	40213.0	46083.0	49749.0	55820.0	60543.0	67987.0	76846.0	92852.0	102190.0	112194.0	121244.0	132751.0	147485.0	158117.0	180858.0	190796.0	203282.0	214432.0	239745.0	237343.0	149461.0	
290.0	133.0	175.0	292.0	177.0	261.0	421.0	277.0	320.0	453.0	356.0	360.0	604.0	532.0	656.0	998.0	1071.0	1147.0	1217.0	1490.0	1716.0	1982.0	1951.0	2334.0	2385.0	2531.0	2871.0	3204.0	3713.0	4408.0	4419.0	5273.0	5537.0	6021.0	6785.0	7320.0	7536.0	8102.0	8403.0	9535.0	10822.0	11718.0	12169.0	13601.0	13878.0	14992.0	16886.0	18024.0	20369.0	21311.0	25080.0	27958.0	31633.0	37190.0	41694.0	49181.0	60521.0	65406.0	78860.0	89937.0	96917.0	107980.0	119096.0	132690.0	143074.0	151094.0	155113.0	167612.0	173082.0	109436.0	
65.0	50.0	67.0	90.0	80.0	123.0	120.0	106.0	129.0	85.0	136.0	158.0	226.0	179.0	284.0	318.0	344.0	447.0	499.0	570.0	531.0	610.0	680.0	763.0	841.0	839.0	1039.0	1238.0	1369.0	1977.0	1793.0	1949.0	2006.0	2187.0	2929.0	3105.0	3855.0	4428.0	4420.0	5142.0	5483.0	6156.0	5933.0	6432.0	7414.0	7841.0	8392.0	8244.0	10103.0	12606.0	15263.0	16304.0	18825.0	21083.0	23241.0	25950.0	31307.0	32976.0	36899.0	43700.0	52932.0	49259.0	53297.0	54326.0	55259.0	55469.0	53189.0	56968.0	54348.0	25947.0	
378.0	309.0	372.0	403.0	336.0	327.0	323.0	387.0	386.0	390.0	588.0	534.0	573.0	747.0	635.0	809.0	1016.0	1060.0	1101.0	1294.0	1468.0	1494.0	1689.0	1627.0	1972.0	2095.0	2015.0	2511.0	2262.0	2595.0	2704.0	3030.0	3206.0	3474.0	4086.0	4553.0	4900.0	5598.0	5439.0	5616.0	6361.0	6263.0	6952.0	6957.0	7472.0	7609.0	8705.0	9471.0	9555.0	11219.0	10746.0	13271.0	15811.0	18297.0	20264.0	22539.0	25727.0	31041.0	34287.0	37375.0	39006.0	42488.0	48312.0	48254.0	51784.0	52201.0	47637.0	52081.0	46922.0	30295.0	
16.0	20.0	26.0	53.0	50.0	32.0	54.0	49.0	99.0	152.0	130.0	182.0	200.0	357.0	296.0	286.0	618.0	503.0	540.0	605.0	592.0	653.0	798.0	882.0	836.0	898.0	985.0	1012.0	1379.0	1579.0	1741.0	1977.0	1945.0	2146.0	2690.0	3333.0	4029.0	4074.0	4772.0	5425.0	5456.0	7114.0	7984.0	8486.0	8907.0	9551.0	11586.0	13034.0	14903.0	17481.0	20142.0	23767.0	27201.0	31803.0	39441.0	44033.0	49962.0	58546.0	63303.0	78851.0	77687.0	87002.0	92633.0	96496.0	105362.0	118161.0	113480.0	128012.0	105264.0	59490.0	
29776.0	32275.0	34765.0	37197.0	39697.0	44038.0	45497.0	49235.0	54751.0	60346.0	67013.0	70426.0	78052.0	82537.0	92420.0	102648.0	115523.0	128016.0	136457.0	145920.0	159206.0	176516.0	196261.0	216848.0	235433.0	252322.0	285061.0	309439.0	338267.0	379963.0	411577.0	444623.0	490524.0	531005.0	574967.0	614878.0	659012.0	723539.0	773779.0	838927.0	906995.0	981385.0	1058410.0	1088558.0	1164126.0	1357009.0	1509496.0	1711471.0	2007667.0	2309742.0	2639975.0	3017647.0	3370333.0	3842112.0	4319187.0	4927300.0	5553360.0	6072536.0	6619627.0	7257917.0	7617777.0	8311943.0	9032818.0	9664902.0	1.0201544E7	1.055642E7	1.0570041E7	1.1186803E7	9571433.0	5605308.0	
